ID	Module / View	Problem Description	Reported Behavior	Status	Reported Dated	Resolved Date	Comments
1	Coach	Shop Request Missing Data	The "Select Balgruha" dropdown menu is empty, preventing coaches from requesting items.	Fixed			Changed user?._id to user?.id in RequestItemModal.jsx to match AuthContext
2	Coach	Empty Course Folders	The Courses section appears incomplete as no content is visible in the folders.	Fixed			
3	Purchase Manager	Missing Supplier Data	Vendors added via Admin view are not appearing in the Purchase Supplier list.				
4	Admin	Missing Approval Action	No "Approve" button is visible for purchase requests sent from the Purchase Manager.	Fixed			Added Purchase Management permission to admin role; Fixed approval workflow
5	Admin	Permission Error	Admin credentials receive an "Access Denied" error when trying to create/add courses.	Fixed			
6	Backend / purchase-requests.js	Express route ordering causing 400 errors	/pending-count endpoint returning 400 because matched as :id parameter	Fixed	2026-02-24	2026-02-24	Moved static routes before dynamic /:id route
7	Backend / shop.js	Product filtering not showing products when purchaseCategory doesn't match	Products not appearing in dropdown when category selected	Fixed	2026-02-24	2026-02-24	Added fallback to check category field
8	Backend / api.js	Out of stock products hidden from purchase request	PM seeing fewer products than admin (15 vs 24)	Fixed	2026-02-24	2026-02-24	Added inStock=false parameter to API calls
9	Frontend / ProductManagement.jsx	Category filter mismatch with product creation	Category filter options different from product creation categories	Fixed	2026-02-24	2026-02-24	Updated filter to match: ISF Shop, Medicines, Consumables, Repairs, Infra, Others
10	Frontend / CreatePurchaseRequestModal.jsx	Missing estimated unit cost input field	Cannot enter costs when creating purchase request	Fixed	2026-02-24	2026-02-24	Added estimated unit cost input with grand total calculation
11	Frontend / ShopInventoryView.jsx	PM not seeing pending_approval requests	Large purchase requests not visible to PM after creation	Fixed	2026-02-24	2026-02-24	Changed default status filter to 'active', added Pending Approval tab
12	Backend / purchaseRequestController.js	Approval workflow skipping fulfillment steps	After approval, PM sees "Update Stock" instead of normal workflow	Fixed	2026-02-24	2026-02-24	Changed approval status from 'approved' to 'pending'
13	Frontend / CreatePurchaseRequestModal.jsx	Edit modal not pre-filling existing data	Products, deadline, and other fields empty when editing	In Progress	2026-02-24	2026-02-24	Added key prop to force remount, added estimated costs to edit data
