ID,Module / View,Problem Description,Reported Behavior,Status,Reported Date,Resolved Date,Comments
FIX-001,Backend / purchase-requests.js,Express route ordering causing 400 errors,/pending-count endpoint returning 400 because matched as :id parameter,Resolved,2026-02-24,2026-02-24,Moved static routes before dynamic /:id route
FIX-002,Backend / shop.js,Product filtering not showing products when purchaseCategory doesn't match,Products not appearing in dropdown when category selected,Resolved,2026-02-24,2026-02-24,Added fallback to check category field
FIX-003,Backend / api.js,Out of stock products hidden from purchase request,PM seeing fewer products than admin (15 vs 24),Resolved,2026-02-24,2026-02-24,Added inStock=false parameter to API calls
FIX-004,Frontend / ProductManagement.jsx,Category filter mismatch with product creation,Category filter options different from product creation categories,Resolved,2026-02-24,2026-02-24,Updated filter to match: ISF Shop; Medicines; Consumables; Repairs; Infra; Others
FIX-005,Frontend / RequestItemModal.jsx,User ID field mismatch causing Balagruha fetch failure,"No Balagruhas assigned" error for coach users,Resolved,2026-02-24,2026-02-24,Changed user?._id to user?.id to match AuthContext
FIX-006,Frontend / CreatePurchaseRequestModal.jsx,Missing estimated unit cost input field,Cannot enter costs when creating purchase request,Resolved,2026-02-24,2026-02-24,Added estimated unit cost input with grand total calculation
FIX-007,Frontend / ShopInventoryView.jsx,PM not seeing pending_approval requests,Large purchase requests not visible to PM after creation,Resolved,2026-02-24,2026-02-24,Changed default status filter to 'active'; added Pending Approval tab
FIX-008,Backend / purchaseRequestController.js,Approval workflow skipping fulfillment steps,After approval; PM sees "Update Stock" instead of normal workflow,Resolved,2026-02-24,2026-02-24,Changed approval status from 'approved' to 'pending'
FIX-009,Backend / Role Model,Admin missing Purchase Management permission,Admin getting 403 Forbidden when approving requests,Resolved,2026-02-24,2026-02-24,Added Purchase Management permission to admin role
FIX-010,Frontend / CreatePurchaseRequestModal.jsx,Edit modal not pre-filling existing data,"Products; deadline; and other fields empty when editing",In Progress,2026-02-24,2026-02-24,Added key prop to force remount; added estimated costs to edit data
